,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
523143,523143,13,Male,128240000.0,38_student_22,38,student,1
92303,92303,30,Male,22948000.0,8_subsistence_ag_164,8,subsistence_ag,0
558752,558752,57,Female,137792000.0,2_student_696,2,student,0
231340,231340,16,Male,57963000.0,24_student_32,24,student,1
437471,437471,24,Female,107291000.0,60_student_32,60,student,0
419995,419995,5,Female,103277000.0,none,57,inactive,0
39434,39434,12,Female,10247000.0,3_student_1,3,student,1
42007,42007,28,Male,10817000.0,3_subsistence_ag_51,3,subsistence_ag,0
461266,461266,34,Female,113491000.0,32_subsistence_ag_162,32,subsistence_ag,0
312639,312639,8,Male,77835000.0,none,39,inactive,0
324806,324806,11,Female,80794000.0,41_student_32,41,student,1
417904,417904,10,Female,102792000.0,57_student_5,57,student,1
606986,606986,6,Male,150319000.0,none,2,inactive,0
42135,42135,1,Female,10846000.0,none,3,inactive,0
152398,152398,2,Male,38026000.0,none,14,inactive,0
522970,522970,7,Female,128203000.0,none,38,inactive,0
223080,223080,13,Male,55900000.0,23_student_33,23,student,1
369131,369131,14,Female,91244000.0,49_student_14,49,student,1
88836,88836,42,Male,22081000.0,7_manu_mining_trades_15,7,manu_mining_trades,0
568519,568519,18,Male,140399000.0,2_student_599,2,student,1
571875,571875,8,Male,141262000.0,none,2,inactive,0
510062,510062,76,Female,125278000.0,37_manu_mining_trades_5,37,manu_mining_trades,0
96670,96670,23,Female,24112000.0,8_student_31,8,student,0
139192,139192,2,Male,34808000.0,none,13,inactive,0
349371,349371,25,Female,86554000.0,46_subsistence_ag_32,46,subsistence_ag,0
393402,393402,26,Male,97196000.0,54_subsistence_ag_105,54,subsistence_ag,0
176824,176824,12,Male,44027000.0,17_student_16,17,student,1
35389,35389,75,Male,9283000.0,3_subsistence_ag_446,3,subsistence_ag,0
535075,535075,6,Female,131339000.0,none,2,inactive,0
306523,306523,51,Female,76223000.0,29_informal_petty_trade_10,29,informal_petty_trade,0
417411,417411,4,Female,102680000.0,none,57,inactive,0
343188,343188,93,Male,84930000.0,45_student_29,45,student,0
