weekday,home_region,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
6,d_11,0,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.8918999,58.739201,79.289597,85.071297,99.562401,99.579597,99.666901,99.666901,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.695297,99.735497,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,d_12,0,1.3706,1.3706,1.3706,1.3706,1.3706,1.3706,1.3706,1.3706,1.4615,9.2845001,91.709999,93.6222,93.677002,93.677002,93.685898,93.685898,93.776299,93.794197,93.794197,93.794197,93.794197,93.814102,93.814102,93.814102,93.862999,93.868103,93.885002,93.885002,95.973801,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,d_12,0,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.646,1.7771,9.9112997,91.328499,93.6698,93.723701,93.723701,93.723701,93.723701,93.797997,93.797997,93.797997,93.797997,93.797997,93.821701,93.821701,93.821701,93.861298,93.872498,93.877296,93.877296,95.946602,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,d_12,0,1.2891001,1.2891001,1.2891001,1.2891001,1.2891001,1.2891001,1.2891001,1.2891001,1.383,9.5834999,91.781601,93.859398,93.8937,93.8937,93.8937,93.8937,93.944801,93.950401,93.950401,93.957603,93.957603,93.962402,93.962402,93.962402,93.998901,94.003998,94.008698,94.008698,95.988701,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,d_12,0,1.2363,1.2363,1.2363,1.2363,1.2363,1.2363,1.2363,1.2363,1.3842,9.3052998,91.755798,93.742302,93.799896,93.799896,93.799896,93.799896,93.852303,93.852303,93.852303,93.852303,93.852303,93.866898,93.866898,93.866898,93.887802,93.894402,93.894402,93.894402,95.941002,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,d_12,0,1.3066,1.3066,1.3066,1.3066,1.3066,1.3066,1.3066,1.3066,1.4119999,9.3660002,91.590103,93.642799,93.690598,93.690598,93.690598,93.690598,93.760902,93.765701,93.765701,93.765701,93.765701,93.776497,93.776497,93.776497,93.812401,93.8172,93.8172,93.8172,95.992996,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,d_12,0,1.4704,1.4704,1.4704,1.4704,1.4704,1.4704,1.4704,1.4704,1.5915,9.6694002,91.153999,93.393997,93.452202,93.452202,93.452202,93.452202,93.524002,93.524002,93.524002,93.524002,93.524002,93.543198,93.543198,93.543198,93.594101,93.594101,93.599503,93.599503,95.766701,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,d_12,0,1.4048001,1.4048001,1.4048001,1.4048001,1.4048001,1.4048001,1.4048001,1.4048001,1.5231,9.6026001,91.446999,93.578598,93.612503,93.612503,93.623497,93.623497,93.697197,93.7033,93.7033,93.7033,93.7033,93.721298,93.721298,93.721298,93.768898,93.768898,93.768898,93.768898,95.879601,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,d_13,0.0088,13.5859,13.5859,13.5859,13.5859,13.6402,13.6773,13.6889,13.6889,21.177099,22.3522,23.3298,82.692299,83.427803,83.487396,83.959297,84.010201,89.109703,89.231697,89.233803,89.320396,89.345596,89.560204,89.584099,89.584099,89.924797,89.987198,90.096497,90.098503,90.297203,99.825996,99.825996,99.825996,99.825996,99.846397,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.877998,99.911102,99.911102,99.911102,99.954903,100,100,100,100
1,d_13,0.0028,16.437401,16.437401,16.437401,16.437401,16.481501,16.513,16.519899,16.519899,24.271999,25.569901,26.719,82.533997,83.352997,83.418602,83.862,83.9114,89.212997,89.322304,89.322304,89.399597,89.4179,89.6082,89.630997,89.633904,89.940102,89.998901,90.112099,90.112099,90.322502,99.840897,99.840897,99.840897,99.840897,99.861702,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.893997,99.924599,99.924599,99.924599,99.958099,100,100,100,100
2,d_13,0,15.4899,15.4899,15.4899,15.4899,15.534,15.5635,15.5722,15.5722,23.479601,24.6765,25.773399,83.573601,84.359398,84.432503,84.867203,84.908997,89.504799,89.606003,89.612503,89.690598,89.701698,89.891403,89.916702,89.919403,90.2006,90.271103,90.357201,90.357201,90.558296,99.874199,99.874199,99.874199,99.874199,99.8871,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.9133,99.937401,99.937401,99.937401,99.959297,100,100,100,100
