,time,myId,metric_died_count,metric_new_hospitalized,metric_new_critical,metric_new_cases_asympt,metric_new_cases_sympt,metric_new_deaths,districtId,seed
2513,41,d_54,0,0,0,0,0,0,54,198010m
2514,41,d_11,0,0,0,0,0,0,11,198010m
2515,41,d_55,0,0,0,0,0,0,55,198010m
2516,41,d_52,0,0,0,0,0,0,52,198010m
2517,41,d_53,0,0,0,0,0,0,53,198010m
2518,41,d_50,0,0,0,0,0,0,50,198010m
2519,41,d_51,0,0,0,0,0,0,51,198010m
2520,42,d_38,0,0,0,0,0,0,38,198010m
2521,42,d_39,0,0,0,0,0,0,39,198010m
2522,42,d_47,0,0,0,0,0,0,47,198010m
2523,42,d_48,0,0,0,0,0,0,48,198010m
2524,42,d_45,0,0,0,0,0,0,45,198010m
2525,42,d_46,0,0,0,0,0,0,46,198010m
2526,42,d_43,0,0,0,0,0,0,43,198010m
2527,42,d_44,0,0,0,0,0,0,44,198010m
2528,42,d_2,0,0,0,0,0,0,2,198010m
2529,42,d_41,0,0,0,0,0,0,41,198010m
2530,42,d_1,0,0,0,0,0,0,1,198010m
2531,42,d_42,0,0,0,0,0,0,42,198010m
2532,42,d_4,0,0,0,0,0,0,4,198010m
2533,42,d_3,0,0,0,0,0,0,3,198010m
2534,42,d_40,0,0,0,0,0,0,40,198010m
2535,42,d_6,0,0,0,1,0,0,6,198010m
2536,42,d_5,0,0,0,0,0,0,5,198010m
2537,42,d_8,0,0,0,0,0,0,8,198010m
2538,42,d_7,0,0,0,0,0,0,7,198010m
2539,42,d_9,0,0,0,0,0,0,9,198010m
2540,42,d_29,0,0,0,0,0,0,29,198010m
2541,42,d_27,0,0,0,0,0,0,27,198010m
2542,42,d_28,0,0,0,0,0,0,28,198010m
2543,42,d_36,0,0,0,0,0,0,36,198010m
2544,42,d_37,0,0,0,0,0,0,37,198010m
2545,42,d_34,0,0,0,0,0,0,34,198010m
2546,42,d_35,0,0,0,0,0,0,35,198010m
2547,42,d_32,0,0,0,0,0,0,32,198010m
2548,42,d_33,0,0,0,0,0,0,33,198010m
2549,42,d_30,0,0,0,0,0,0,30,198010m
2550,42,d_31,0,0,0,1,0,0,31,198010m
2551,42,d_18,0,0,0,0,0,0,18,198010m
2552,42,d_19,0,0,0,0,0,0,19,198010m
2553,42,d_16,0,0,0,0,0,0,16,198010m
2554,42,d_17,0,0,0,0,0,0,17,198010m
2555,42,d_25,0,0,0,0,0,0,25,198010m
2556,42,d_26,0,0,0,0,0,0,26,198010m
2557,42,d_23,0,0,0,0,0,0,23,198010m
2558,42,d_24,0,0,0,0,0,0,24,198010m
2559,42,d_21,0,0,0,0,0,0,21,198010m
2560,42,d_22,0,0,0,0,0,0,22,198010m
2561,42,d_20,0,0,0,0,0,0,20,198010m
2562,42,d_60,0,0,0,0,0,0,60,198010m
2563,42,d_49,0,0,0,0,0,0,49,198010m
2564,42,d_14,0,0,0,0,0,0,14,198010m
2565,42,d_58,0,0,0,0,0,0,58,198010m
2566,42,d_15,0,0,0,0,0,0,15,198010m
