seed,districtId,simDay_firstcase,beta,run_length
514210m,48,0,0.016,180
514210m,49,114,0.016,180
514210m,50,56,0.016,180
514210m,52,83,0.016,180
514210m,53,103,0.016,180
514210m,54,90,0.016,180
514210m,55,44,0.016,180
514210m,56,79,0.016,180
514210m,57,71,0.016,180
514210m,58,59,0.016,180
514210m,59,176,0.016,180
514210m,60,155,0.016,180
58010m,1,0,0.016,180
58010m,2,0,0.016,180
58010m,3,110,0.016,180
58010m,4,104,0.016,180
58010m,5,102,0.016,180
58010m,6,45,0.016,180
58010m,7,27,0.016,180
58010m,8,60,0.016,180
58010m,9,107,0.016,180
58010m,10,53,0.016,180
58010m,11,114,0.016,180
58010m,12,106,0.016,180
58010m,13,38,0.016,180
58010m,14,72,0.016,180
58010m,15,121,0.016,180
58010m,16,78,0.016,180
58010m,17,113,0.016,180
58010m,18,0,0.016,180
58010m,19,22,0.016,180
58010m,20,24,0.016,180
58010m,21,26,0.016,180
58010m,22,19,0.016,180
58010m,23,19,0.016,180
58010m,24,93,0.016,180
58010m,25,65,0.016,180
58010m,26,77,0.016,180
58010m,27,99,0.016,180
58010m,28,24,0.016,180
58010m,29,112,0.016,180
58010m,30,63,0.016,180
58010m,31,6,0.016,180
58010m,32,86,0.016,180
58010m,33,131,0.016,180
58010m,34,94,0.016,180
58010m,35,47,0.016,180
58010m,36,59,0.016,180
58010m,37,123,0.016,180
58010m,38,45,0.016,180
58010m,40,135,0.016,180
58010m,42,172,0.016,180
58010m,43,95,0.016,180
58010m,44,158,0.016,180
58010m,45,23,0.016,180
58010m,46,65,0.016,180
58010m,47,145,0.016,180
58010m,48,0,0.016,180
58010m,49,101,0.016,180
58010m,50,122,0.016,180
58010m,51,150,0.016,180
58010m,52,131,0.016,180
58010m,53,28,0.016,180
58010m,54,113,0.016,180
58010m,55,73,0.016,180
58010m,56,63,0.016,180
58010m,57,63,0.016,180
58010m,58,113,0.016,180
58010m,59,83,0.016,180
58010m,60,80,0.016,180
674510m,1,0,0.016,180
674510m,2,0,0.016,180
674510m,3,135,0.016,180
674510m,4,124,0.016,180
674510m,5,162,0.016,180
674510m,6,59,0.016,180
674510m,7,130,0.016,180
674510m,8,123,0.016,180
674510m,9,151,0.016,180
674510m,10,49,0.016,180
674510m,11,132,0.016,180
674510m,12,134,0.016,180
674510m,13,34,0.016,180
674510m,14,114,0.016,180
674510m,15,84,0.016,180
674510m,16,75,0.016,180
674510m,17,105,0.016,180
674510m,18,0,0.016,180
674510m,19,59,0.016,180
674510m,20,73,0.016,180
674510m,21,12,0.016,180
674510m,22,70,0.016,180
674510m,23,67,0.016,180
674510m,24,97,0.016,180
674510m,25,108,0.016,180
674510m,26,60,0.016,180
674510m,27,84,0.016,180
674510m,28,93,0.016,180
674510m,29,166,0.016,180
674510m,30,63,0.016,180
674510m,31,28,0.016,180
674510m,32,105,0.016,180
674510m,33,153,0.016,180
674510m,34,131,0.016,180
674510m,35,154,0.016,180
674510m,36,86,0.016,180
674510m,37,124,0.016,180
674510m,38,111,0.016,180
674510m,39,149,0.016,180
674510m,40,99,0.016,180
674510m,41,71,0.016,180
674510m,42,90,0.016,180
674510m,43,154,0.016,180
674510m,44,131,0.016,180
674510m,45,56,0.016,180
674510m,46,61,0.016,180
674510m,47,100,0.016,180
674510m,48,0,0.016,180
674510m,49,85,0.016,180
674510m,50,92,0.016,180
674510m,51,8,0.016,180
674510m,52,85,0.016,180
674510m,53,134,0.016,180
674510m,54,101,0.016,180
674510m,55,124,0.016,180
674510m,56,80,0.016,180
674510m,57,88,0.016,180
674510m,58,104,0.016,180
674510m,59,90,0.016,180
674510m,60,83,0.016,180
737410m,1,0,0.016,180
737410m,2,0,0.016,180
737410m,3,48,0.016,180
737410m,4,134,0.016,180
737410m,5,139,0.016,180
737410m,6,39,0.016,180
737410m,7,119,0.016,180
737410m,8,94,0.016,180
737410m,9,60,0.016,180
737410m,10,11,0.016,180
737410m,11,82,0.016,180
737410m,12,87,0.016,180
737410m,13,21,0.016,180
737410m,14,51,0.016,180
737410m,15,129,0.016,180
737410m,16,61,0.016,180
737410m,17,41,0.016,180
737410m,18,0,0.016,180
737410m,19,68,0.016,180
737410m,20,92,0.016,180
737410m,21,34,0.016,180
737410m,22,61,0.016,180
737410m,23,59,0.016,180
737410m,24,90,0.016,180
737410m,25,5,0.016,180
737410m,26,29,0.016,180
737410m,27,77,0.016,180
737410m,28,40,0.016,180
737410m,29,89,0.016,180
737410m,30,86,0.016,180
737410m,31,5,0.016,180
737410m,32,114,0.016,180
737410m,33,141,0.016,180
737410m,34,110,0.016,180
737410m,35,113,0.016,180
737410m,36,59,0.016,180
737410m,37,140,0.016,180
737410m,38,82,0.016,180
737410m,40,30,0.016,180
737410m,41,69,0.016,180
737410m,42,150,0.016,180
737410m,43,143,0.016,180
737410m,44,76,0.016,180
737410m,45,27,0.016,180
737410m,46,11,0.016,180
737410m,47,78,0.016,180
737410m,48,0,0.016,180
737410m,49,72,0.016,180
737410m,50,67,0.016,180
737410m,51,89,0.016,180
737410m,52,83,0.016,180
737410m,53,74,0.016,180
737410m,54,110,0.016,180
737410m,55,25,0.016,180
737410m,56,67,0.016,180
737410m,57,19,0.016,180
737410m,58,140,0.016,180
737410m,59,93,0.016,180
737410m,60,109,0.016,180
897310m,1,0,0.016,180
897310m,2,0,0.016,180
897310m,3,143,0.016,180
897310m,4,69,0.016,180
897310m,5,144,0.016,180
897310m,6,120,0.016,180
897310m,7,79,0.016,180
897310m,8,82,0.016,180
897310m,9,59,0.016,180
897310m,10,91,0.016,180
897310m,11,100,0.016,180
897310m,12,144,0.016,180
897310m,13,72,0.016,180
897310m,14,74,0.016,180
897310m,15,76,0.016,180
897310m,16,70,0.016,180
897310m,17,39,0.016,180
897310m,18,0,0.016,180
897310m,19,67,0.016,180
897310m,20,101,0.016,180
897310m,21,36,0.016,180
897310m,22,9,0.016,180
897310m,23,22,0.016,180
897310m,24,77,0.016,180
897310m,25,159,0.016,180
897310m,26,55,0.016,180
897310m,27,159,0.016,180
897310m,28,133,0.016,180
897310m,30,67,0.016,180
897310m,31,18,0.016,180
897310m,32,143,0.016,180
897310m,33,154,0.016,180
897310m,34,157,0.016,180
897310m,35,157,0.016,180
897310m,36,128,0.016,180
897310m,37,110,0.016,180
897310m,38,156,0.016,180
897310m,41,154,0.016,180
897310m,43,156,0.016,180
897310m,44,78,0.016,180
897310m,45,137,0.016,180
897310m,46,98,0.016,180
897310m,47,154,0.016,180
897310m,48,0,0.016,180
897310m,49,97,0.016,180
897310m,50,175,0.016,180
897310m,51,121,0.016,180
897310m,52,58,0.016,180
897310m,53,140,0.016,180
897310m,54,165,0.016,180
897310m,55,141,0.016,180
897310m,56,94,0.016,180
897310m,57,95,0.016,180
897310m,58,154,0.016,180
897310m,59,159,0.016,180
897310m,60,113,0.016,180
989510m,1,0,0.016,180
989510m,2,0,0.016,180
989510m,3,35,0.016,180
989510m,4,98,0.016,180
989510m,5,120,0.016,180
989510m,6,84,0.016,180
989510m,7,89,0.016,180
989510m,8,33,0.016,180
989510m,9,46,0.016,180
989510m,10,88,0.016,180
989510m,11,60,0.016,180
989510m,12,13,0.016,180
989510m,13,36,0.016,180
989510m,14,87,0.016,180
989510m,15,128,0.016,180
989510m,16,155,0.016,180
989510m,17,53,0.016,180
989510m,18,0,0.016,180
989510m,19,33,0.016,180
989510m,20,64,0.016,180
989510m,21,30,0.016,180
989510m,22,67,0.016,180
989510m,23,34,0.016,180
989510m,24,71,0.016,180
989510m,25,61,0.016,180
989510m,26,20,0.016,180
989510m,27,135,0.016,180
989510m,28,79,0.016,180
989510m,29,139,0.016,180
989510m,30,51,0.016,180
989510m,31,37,0.016,180
989510m,32,124,0.016,180
989510m,33,157,0.016,180
989510m,34,92,0.016,180
989510m,35,84,0.016,180
989510m,36,93,0.016,180
989510m,37,139,0.016,180
989510m,38,142,0.016,180
989510m,40,91,0.016,180
989510m,41,169,0.016,180
989510m,42,176,0.016,180
989510m,43,133,0.016,180
989510m,44,124,0.016,180
989510m,45,68,0.016,180
989510m,46,128,0.016,180
989510m,47,87,0.016,180
989510m,48,0,0.016,180
989510m,49,27,0.016,180
989510m,50,113,0.016,180
989510m,51,77,0.016,180
989510m,52,37,0.016,180
989510m,53,114,0.016,180
989510m,54,75,0.016,180
989510m,55,127,0.016,180
989510m,56,28,0.016,180
989510m,57,85,0.016,180
989510m,58,79,0.016,180
989510m,59,104,0.016,180
989510m,60,117,0.016,180
